ERROR_MESSAGE,SITENO,OWNST,SQFT,ISSUEDT,VALUE,REISSUE,OWNADD3,ID,SITEDR,OWNADD2,OWNADD1,APPLNM,OWNCTY,OWNPH,DESCRIP,COMPLDT,CONTNM,OWNNM,PERMITNO,SITEST,OWNZIP,CITYAPN,CITYCODE,PERMFEE,Building_Permit_ID,SITEUNIT,CONTPH,SITEFIX,CITYSTRAT,Parcel_Id,FISCALYR
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,152,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888891,fdf,94403,38121400,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,153,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888892,MULRYAN CT RD,94403,38121401,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,154,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888893,MULRYAN CT RD,94403,38121402,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,155,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,5543fd,BD-2018-888894,MULRYAN CT RD,94403,38121403,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,156,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888895,MULRYAN CT RD,94403,38121404,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,157,,,fdsf34,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888896,MULRYAN CT RD,94403,38121405,SM,10000,,,,,ADDITION,,7/1/2018
Owner State: data value too large: 65f (max length=2),10,65f,0,2/2/2018,900000,No,,158,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888897,MULRYAN CT RD,94403,38121406,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,159,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888898,MULRYAN CT RD,fds34,38121407,SM,10000,,,,,ADDITION,,7/1/2018
A building Permit could not be Completed in future,10,CA,0,2/2/2018,900000,No,,160,,,SBI Bank,,,,fsdfsd324324fds!@#,7/12/2020,,Test-YS,BD-2018-888901,MULRYAN CT RD,94403,38121410,SM,10000,,,,,ADDITION,,7/1/2018
City APN: data value too large: dssadsad4324324 (max length=12),10,CA,0,2/2/2018,900000,No,,161,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888903,MULRYAN CT RD,94403,dssadsad4324324,SM,10000,,,,,ADDITION,,7/1/2018
Unable to set city strat code lookup. Seems like no valid city exists with code SM and name fdsdsf,10,CA,0,2/2/2018,900000,No,,162,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2020,,Test-YS,BD-2018-888906,MULRYAN CT RD,94403,38121414,SM,10000,,,,,fdsdsf,,7/1/2018
"Issue Date must be in format {MM/dd/yy,MM/dd/yyyy}",10,CA,0,abc,900000,No,,163,,,SBI Bank,,,,valid description scenario testing,7/12/2019,,Test-YS,BD-2018-888989,MULRYAN CT RD,94403,38121400,SM,12000,,,,,ADDITION,,7/1/2019
"Issue Date must be in format {MM/dd/yy,MM/dd/yyyy}",10,CA,0,sds,900000,No,,164,,,SBI Bank,,,,1-STORY SFD TOTAL 673SF ADDITION AND 296SF INTERIOR REMODEL: ADDITION TO CONVERT (E) KITCHEN INTO A PANTRY W/ (N) SKYLIGHT AND ADD A (N) KITCHEN & FAMILY ROOM TO THE REAR. ADD 211SF (N) WOOD DECK. (N),7/12/2019,,Test-YS,BD-2018-888889,MULRYAN CT RD,94403,38121400,SM,12000,,,,,ADDITION,,7/1/2019
